Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784382328,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784382329,20,,Aggregated,0.000000,0.000000,900,900,900,900,900,900,900,900,900,900,900,36,0,480,572.259732000153,3.563122000059593,903.6059000009118,97.61111111111111
1784382330,30,,Aggregated,0.000000,0.000000,230,360,480,660,900,900,900,900,900,900,900,108,0,230,336.746810462949,3.563122000059593,903.6059000009118,100.5925925925926
1784382331,32,,Aggregated,3.000000,0.000000,270,430,480,540,740,900,900,900,920,920,920,248,0,270,326.3660843588764,3.563122000059593,920.1984999999695,99.32661290322581
1784382332,32,,Aggregated,44.500000,0.000000,330,470,550,580,810,900,920,1100,1200,1200,1200,320,0,320,357.9913860062569,3.563122000059593,1173.198800001046,99.1375
1784382333,32,,Aggregated,64.000000,0.000000,390,490,550,600,810,900,960,1100,1200,1200,1200,476,0,380,373.00371024371543,3.563122000059593,1173.198800001046,101.04201680672269
1784382334,32,,Aggregated,76.250000,0.000000,390,490,560,640,750,900,950,1100,1200,1200,1200,592,0,390,373.61243577366474,3.563122000059593,1173.198800001046,101.38682432432432
1784382335,32,,Aggregated,79.400000,0.000000,390,500,570,620,750,900,920,960,1200,1200,1200,704,0,390,375.09698352841093,3.563122000059593,1173.198800001046,101.4659090909091
1784382336,32,,Aggregated,87.833333,0.000000,380,480,540,590,720,860,920,960,1200,1200,1200,848,0,380,364.4189553525756,3.563122000059593,1173.198800001046,102.23820754716981
1784382337,32,,Aggregated,93.714286,0.000000,390,490,560,620,750,890,930,1000,1200,1200,1200,928,0,390,375.00678043748485,3.563122000059593,1173.198800001046,102.30172413793103
1784382338,32,,Aggregated,101.125000,0.000000,390,500,580,660,810,910,1000,1200,1500,1500,1500,1008,0,390,393.421056246,3.563122000059593,1540.697699998418,102.12301587301587
1784382339,32,,Aggregated,101.666667,0.000000,380,490,580,660,820,920,1100,1300,1500,1500,1500,1196,0,380,389.4526202917692,3.563122000059593,1540.697699998418,102.20652173913044
1784382340,32,,Aggregated,96.900000,0.000000,370,480,550,630,800,910,1100,1200,1500,1500,1500,1338,0,370,379.2888113534817,3.563122000059593,1540.697699998418,102.42301943198804
1784382341,32,,Aggregated,112.300000,0.000000,360,470,550,610,770,900,1100,1200,1500,1500,1500,1446,0,360,372.6679166901408,3.563122000059593,1540.697699998418,102.79598893499309
1784382342,32,,Aggregated,119.100000,0.000000,360,470,540,600,750,900,1000,1200,1500,1500,1500,1617,0,360,368.61343692141844,3.563122000059593,1540.697699998418,102.56524427952999
1784382343,32,,Aggregated,123.900000,0.000000,370,480,550,600,750,900,1000,1200,1500,1500,1500,1741,0,370,371.28331617113173,3.563122000059593,1540.697699998418,102.67432510051694
1784382344,32,,Aggregated,123.700000,0.000000,370,480,550,610,750,900,1000,1100,1500,1500,1500,1804,0,370,373.75185721836823,3.563122000059593,1540.697699998418,102.57760532150776
1784382345,32,,Aggregated,127.400000,0.000000,370,490,570,640,800,920,1100,1200,1500,1500,1500,1959,0,370,382.76190739200325,3.563122000059593,1540.697699998418,102.50076569678407
1784382346,32,,Aggregated,127.500000,0.000000,360,470,550,610,780,910,1000,1100,1400,1500,1500,2119,0,360,373.0138473383301,3.563122000059593,1540.697699998418,102.73761208117037
1784382347,32,,Aggregated,119.800000,0.000000,350,470,540,610,760,910,1000,1100,1400,1500,1500,2246,0,350,369.546928841904,3.563122000059593,1540.697699998418,102.96571682991986
1784382348,32,,Aggregated,123.000000,0.000000,360,470,540,600,760,910,1000,1100,1400,1500,1500,2379,0,360,368.72430147075363,3.563122000059593,1540.697699998418,102.80453972257251
1784382349,32,,Aggregated,126.000000,0.000000,360,470,540,590,750,910,1000,1100,1400,1500,1500,2517,0,360,366.990795978517,3.563122000059593,1540.697699998418,102.72427493047279
1784382350,32,,Aggregated,135.400000,0.000000,360,470,540,600,750,900,1000,1100,1400,1500,1500,2615,0,360,368.66981524088743,3.563122000059593,1540.697699998418,102.8302103250478
1784382351,32,,Aggregated,133.600000,0.000000,370,480,550,600,750,900,980,1100,1400,1500,1500,2778,0,370,371.1325496882331,3.563122000059593,1540.697699998418,102.60007199424047
1784382352,32,,Aggregated,131.200000,0.000000,370,470,550,600,750,900,980,1100,1400,1500,1500,2918,0,370,368.0352419567853,3.563122000059593,1540.697699998418,102.5637422892392
1784382353,32,,Aggregated,127.700000,0.000000,360,470,540,590,750,900,980,1100,1400,1500,1500,3057,0,360,366.98960811740517,3.563122000059593,1540.697699998418,102.6120379456984
1784382354,32,,Aggregated,130.500000,0.000000,370,470,540,590,760,900,990,1100,1400,1500,1500,3153,0,370,368.0090363678776,3.563122000059593,1540.697699998418,102.5477323184269
1784382355,32,,Aggregated,131.300000,0.000000,370,470,540,590,760,900,1000,1100,1400,1500,1500,3279,0,370,368.3489466016837,3.563122000059593,1540.697699998418,102.59103385178408
1784382356,32,,Aggregated,128.400000,0.000000,370,470,540,590,760,900,990,1100,1400,1500,1500,3363,0,370,368.5794320430909,3.563122000059593,1540.697699998418,102.48706512042818
1784382357,32,,Aggregated,135.200000,0.000000,370,470,540,590,760,900,1000,1100,1400,1500,1500,3511,0,370,368.9952078037359,3.563122000059593,1540.697699998418,102.59299344915978
1784382358,32,,Aggregated,128.000000,0.000000,370,470,540,590,760,900,1000,1100,1400,1500,1500,3645,0,370,368.18429371191047,3.563122000059593,1540.697699998418,102.61344307270234
1784382359,32,,Aggregated,127.800000,0.000000,370,470,540,590,770,910,1000,1100,1400,1500,1500,3754,0,370,370.04809183028743,3.563122000059593,1540.697699998418,102.67634523175279
1784382360,32,,Aggregated,123.800000,0.000000,370,470,540,590,760,900,1000,1100,1400,1500,1500,3890,0,370,368.5590175889177,3.563122000059593,1540.697699998418,102.80694087403599
