Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784395330,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784395331,10,,Aggregated,0.000000,0.000000,420,730,740,740,740,750,750,750,750,750,750,40,0,420,371.6872602245985,4.143572999964817,748.8164999995206,103.75
1784395332,30,,Aggregated,0.000000,0.000000,160,260,340,470,730,740,740,750,750,750,750,150,0,160,233.01508499981233,3.979179999078042,748.8164999995206,101.80666666666667
1784395333,40,,Aggregated,1.000000,0.000000,200,270,320,350,560,730,740,740,750,750,750,320,0,200,223.47175744681067,3.979179999078042,748.8164999995206,102.084375
1784395334,50,,Aggregated,60.500000,0.000000,230,310,370,510,720,770,780,950,990,990,990,453,0,230,272.454827485578,3.979179999078042,986.3139000008232,103.3289183222958
1784395335,60,,Aggregated,84.666667,0.000000,260,340,380,470,710,780,950,1000,1100,1100,1100,581,0,260,281.3341638106187,3.979179999078042,1121.8960999976844,103.55593803786574
1784395336,70,,Aggregated,94.000000,0.000000,270,370,520,650,800,960,1600,1900,1900,1900,1900,678,0,270,349.91111386132735,3.979179999078042,1936.1739000014495,102.73893805309734
1784395337,80,,Aggregated,110.200000,0.000000,280,420,670,770,1000,1600,2200,2300,2600,2600,2600,769,0,280,434.8111178283742,3.979179999078042,2581.7248999992444,102.49804941482445
1784395338,90,,Aggregated,104.166667,0.000000,310,620,780,850,1100,1800,2300,2500,2800,2800,2800,994,0,310,504.2757663200171,3.979179999078042,2847.640500000125,102.61871227364185
1784395339,100,,Aggregated,97.285714,0.000000,320,640,780,850,1100,1900,2300,2500,2800,2900,2900,1060,0,320,517.5878903435048,3.979179999078042,2865.923199999088,102.6622641509434
1784395340,110,,Aggregated,103.875000,0.000000,350,710,830,990,1400,2100,2400,2500,2900,3400,3400,1179,0,350,571.6466636582553,3.979179999078042,3413.7937999985297,103.23579304495335
1784395341,120,,Aggregated,112.222222,0.000000,370,750,950,1100,1400,2200,2800,2900,3400,3600,3600,1329,0,370,619.4301794124037,3.979179999078042,3629.905800000415,103.2686230248307
1784395342,128,,Aggregated,116.200000,0.000000,370,780,1000,1100,1800,2400,2900,3100,3700,4000,4000,1415,0,370,671.212146529382,3.979179999078042,3950.668499997846,103.34416961130742
1784395343,128,,Aggregated,126.200000,0.000000,380,790,1000,1100,1800,2400,3000,3500,4400,4700,4700,1428,0,380,696.7976479965542,3.979179999078042,4710.82430000024,103.32563025210084
1784395344,128,,Aggregated,122.500000,0.000000,380,790,1000,1100,1800,2500,3200,4100,4700,5100,5100,1433,0,380,710.4676820928652,3.979179999078042,5050.776200001565,103.32100488485695
1784395345,128,,Aggregated,122.500000,0.000000,380,790,1000,1100,1800,2500,3200,4100,4700,5100,5100,1433,0,380,710.4676820928652,3.979179999078042,5050.776200001565,103.32100488485695
1784395346,128,,Aggregated,122.500000,0.000000,380,790,1000,1100,1800,2500,3200,4100,4700,5100,5100,1433,0,380,710.4676820928652,3.979179999078042,5050.776200001565,103.32100488485695
1784395347,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2600,3500,4300,6400,6400,6400,1441,0,410,740.9585307696536,3.979179999078042,6400.223399999959,103.31367106176266
1784395348,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395349,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395350,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395351,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395352,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395353,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395354,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395355,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395356,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395357,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395358,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395359,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395360,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395361,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395362,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395363,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395364,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395365,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395366,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395367,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395368,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395369,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
1784395370,128,,Aggregated,88.200000,0.000000,410,800,1000,1200,1900,2800,3700,4600,6400,6400,6400,1445,0,410,755.8518573972825,3.979179999078042,6400.223399999959,103.31003460207613
